,8_sc,zygote_sc,early2C_sc,mid2C_sc,late2C_sc,4C_sc,16C_sc,midblast_sc,earlyblast_sc,lateblast_sc,D.EPSCs_sc,L.EPSCs_sc,TBLC_sc,ES_sc,2CLC_ref1
Adamtsl1,2.4887033,158.00313,212.12335,71.54056,43.234085,9.486754,0.9635743,1.5149002,0.008605688,0.13510273,0.5188823,0.8155109,2.2305617,0.23502505,0.319538
Adarb2,1.5570642,9.294346,34.019054,32.282146000000004,5.930009,0.0,0.0,0.056759074,0.0,0.021470595,0.0,0.0078190025,0.25235555,25.043242000000003,94.2314
Adck5,19.848488,1.7480394,0.45661,8.56017,16.240353,34.580936,13.127672,148.17378,58.908073,13.635234,31.043964000000003,29.458416,11.054508,26.159878,0.0
Adcy5,0.74907595,64.51781,141.1539,65.504234,32.183907,13.378745,1.7545134999999998,0.100407965,0.008935639,0.0,0.5790565,0.39457762,0.29641077,0.39449564,0.146817
Adhfe1,0.67801,2.9965284,7.499529400000001,5.232366000000001,3.6020904,0.009211561,1.4915957,9.812015,0.98110676,6.2464523000000005,5.6634517,2.4231133,0.661142,1.3661757,0.164464
Adm,3.8743172,0.0,1.9610909,18.642557,9.816044,1.4164118,1.2764448,0.18302244,2.5839744,0.0,103.401344,0.17311354,22.25673,0.83102214,0.203677
Adm2,0.98586434,63.35266,45.94241,5.456217,5.577903,0.2755725,0.47155097,0.035843242,0.0023257122,0.0,16.287834,0.55986995,2.447514,4.282339599999999,1.07341
Adrb2,0.90105265,0.0,5.747857,5.7499347,0.012608318,0.0,0.0,0.0020133988,0.0024809067,0.0,11.344607,7.7763205,20.804794,0.36906454,0.760075
Afap1,5.3068957,240.5108,306.7875,172.16284,70.72914,8.664997999999999,10.353488,0.5006649000000001,0.6974486,0.44717667,26.168116,22.814497,7.1920533,2.034504,3.61216
Afap1l2,0.27571386,422.7684,364.10095,143.92049,55.267480000000006,15.009903,3.7991016,1.019885,0.25809526,0.019667339,2.0806425,2.4266298,2.5674138,0.4109362,0.511304
Agbl3,5.1932206,4.999411599999999,4.6555147,0.38423774,0.010072475,0.011442268,3.2479284,0.03995364,0.01990776,0.0033530179999999,0.046472527,2.003196,8.095999,0.009963883,0.4252829999999999
Ahcy,23.999975,4.0304627,2.2132263,1.6030859,1.8075368000000005,8.534048,50.481155,167.97752,120.76803999999998,93.16616,31.719328000000004,21.266642,7.47486,98.02969,105.812
Ahr,3.1211545,41.162754,57.210636,8.789414,4.083251000000001,3.1536045,0.082952216,3.4709632000000004,0.123182364,2.3512151,2.1826756,1.880487,12.54194,0.9651501,1.18526
Aig1,6.263103,5.4008427,5.3686376,3.7520483,0.8194742,4.2986765,0.3722215,0.030130088,0.03173568,0.0,30.487349,6.773681599999999,14.43793,11.248803,4.102460000000001
Ak1,9.884513,0.089442946,0.0,0.3271997,0.11748078,4.690323,0.0014214771,1.4728122,4.0550847,2.0277967,100.13572,238.39917000000003,57.50227,70.63309,25.98968
Ak5,0.19098882,0.10369653,0.0,0.0,0.00402899,0.0,0.006705966,0.0028674593,0.0,0.026184198,0.3303859,0.12520492,0.2017958,0.0,0.0
Aldh1a2,7.8141503,1.1015853,3.9012916,0.47355893,0.0,0.0,0.9940265,0.007782728,0.0054733759999999,0.022754261,16.387367,2.2259173,1.1626040000000002,5.073171599999999,1.3146799999999998
Aldh1b1,2.5642998,0.0,0.11467403,0.47679868,3.8623421,0.0,0.0,18.019564000000003,0.93115884,0.00886717,16.792747,19.984575,1.5522835,21.113012,3.58754
Alg10b,11.666366,152.53311000000002,76.40235,18.889997,17.510454,28.431858,5.9481745,6.841383,26.41808,12.487192,41.21137,29.908592,11.7821865,4.919076400000001,2.1139
Ampd3,0.7231199,125.59369,166.42678999999998,135.05723999999998,67.1509,13.731316,0.6154818,0.29766375,0.0049466816999999,0.009135216,6.0784407,2.1063435,1.7647666000000002,4.4223714,1.55122
Angel1,2.8262486,59.277985,63.819183,34.182873,13.972072,2.1589859,1.462603,7.765902,11.416523,0.5328649000000001,15.915849,17.491761999999998,4.4607286,7.981352,6.30705
Angptl2,1.2965707,14.637594,34.78287,49.428090000000005,2.2638254,0.009947071,19.050083,1.1157502,6.465133,0.7653358,0.8127269,0.7411346999999999,3.041395,0.40893385,0.389596
Ank3,7.984079400000001,21.071733,36.947254,4.3297696,9.022522,2.214354,0.003780146,2.5482254,0.7233556999999999,0.009477916,10.649466,2.4564877,6.7523394,1.9320638,0.91804
Ankrd44,8.041333999999999,640.9977,778.4341,648.53314,417.4898,34.500824,8.660063000000001,5.7227416,9.444912,4.456789499999999,0.4950047000000001,1.6904396000000002,5.8034215,0.8998777,0.3667829999999999
